KODE,NAMA_PRODUK,LOKASI,QTY_STOK,UNIT,TAHUN
A000209,THERMOMETER AVICO,ETL5B,5.0,PCS,2021
A00021,AMOXICILIN 500MG,RAK2,200.0,STRIP,2021
A00023,AMOXSAN 500MG,RAK1,60.0,TABLET,2021
A00026,AMPICILIN 500MG,RAK2,7.0,STRIP,2021
A00027,ANAKONIDIN OBH 60ML,ETL3A,2.0,BOTOL,2021
A00028,ANAKONIDIN SYR 60ML,ETL3A,6.0,BOTOL,2021
A00029,ANDALAN LAKTASI,RAK4,24.0,STRIP,2021
A00032,ANTANGIN ANAK,ETL5B,34.0,SACHET,2021
A00033,ANTANGIN CAIR,ETL5B,239.0,SACHET,2021
A00034,ANTANGIN TAB,ETL5B,32.0,STRIP,2021
A00035,ANTASIDA DOEN,ETL1,220.0,TABLET,2021
A00036,ANTIMO ANAK JERUK,ETL1,30.0,SACHET,2021
A00037,ANTIMO ANAK STRAW,ETL1,1.0,SACHET,2021
A00038,ANTIMO TAB,ETL1,18.0,STRIP,2021
A00039,ASAM MEFENAMAT 500MG,RAK2,59.0,STRIP,2021
A00042,ACYCLOVIR 5% CR,RAK3,28.0,TUBE,2021
A00043,ANDALAN CO 12'S,ETL3B,6.0,DUS,2021
A00045,ANLENE GOLD VANILLA 250GR,ETL5A,2.0,BOX,2021
A00046,ANLENE GOLD COKLAT 250GR,ETL5A,2.0,BOX,2021
A00048,AVAIL HIJAU,ETL5B,29.0,PCS,2021
A00049,AVAIL BIRU,ETL5B,16.0,PCS,2021
A00050,AMBEVEN,ETL1,7.0,STRIP,2021
A00055,ALOFAR 100MG,RAK1,12.0,STRIP,2021
A00056,ALKOHOL 70% 300ML,ETL3B,6.0,BOTOL,2021
A00060,ARMSLING M,ETL4,2.0,PCS,2021
A00066,ANLENE ACTIFIT VANILLA,ETL5A,1.0,DUS,2021
A00067,ANLENE ACTIFIT COKLAT,ETL5A,1.0,DUS,2021
A00072,ASEPSO,ETL5B,8.0,PCS,2021
A00073,ANDALAN TESTPACK AMP,ETL3B,27.0,AMPLOP,2021
A00074,AKUTES TESPEK,ETL3B,30.0,PCS,2021
A00077,ACLONAC GEL 20G,ETL2,2.0,BOX,2021
A00083,ANTASIDA DOEN SUSP 60ML,ETL1,10.0,BOTOL,2021
A00091,ARMACORT,RAK3,12.0,TUBE,2021
A00092,ALLERIN EXP 60 ML,ETL3A,3.0,BOTOL,2021
A00100,ALKOHOL 70% 100ML,ETL3B,9.0,BOTOL,2021
A00101,AUTOCLICK + JARUM,MEJA,1.0,PCS,2021
A00103,AQUA MARIS DAILY NASSAL 30ML,ETL2,1.0,BOTOL,2021
A00107,ALLERGEN TAB,ETL1,12.0,STRIP,2021
A00110,ANTIS SPRAY 55ML,ETL5B,12.0,BOTOL,2021
A00111,ADEM SARI CHING KU,SC,5.0,KLG,2021
A00112,ANACETIN SYR,ETL3A,9.0,BOTOL,2021
A00116,ASIFIT 700MG KAPLET,ETL5A,7.0,STRIP,2021
A00118,ANASTAN FORTE,RAK1,16.0,STRIP,2021
A00121,ACNES GEL,ETL2,2.0,TUBE,2021
A00122,ADEM SARI SENSACOOLS,ETL4,39.0,SACHET,2021
A00126,ACNOL 10GR,ETL2,2.0,TUBE,2021
A00131,AMBROXOL SYR,RAK4,6.0,BOTOL,2021
A00132,AMOXSAN DROP,RAK4,2.0,BOTOL,2021
A00133,ACNOL LOTION 10ML,ETL2,4.0,PCS,2021
A00135,ASMASOLON,ETL1,36.0,STRIP,2021
A00138,ACNES FC CREAMYWASH,ETL2,1.0,TUBE,2021
A00141,ASICUM,ETL2,2.0,BOTOL,2021
A00142,ALBENDAZOLE KF,RAK2,11.0,STRIP,2021
A00146,ACTIVCLEAR,ETL2,1.0,TUBE,2021
A00147,ACARBOSE,RAK2,9.0,STRIP,2021
A00151,AGARILLUS DROP,ETL2,2.0,BOTOL,2021
A00158,ACIFAR,RAK3,5.0,TUBE,2021
A00160,ATORVASTATIN 20MG,RAK2,10.0,STRIP,2021
A00161,ACETYLCYSTEINE 200MG,RAK2,14.0,STRIP,2021
A00164,AMUNIZER,ETL5B,12.0,SACHET,2021
A00165,AGARILLUS,ETL2,2.0,BOTOL,2021
A00167,ACITRAL 10'S,ETL1,10.0,STRIP,2021
A00168,ARKAVIT C,ETL1,6.0,STRIP,2021
A00170,ACITRAL SUSPENSI 120ML,ETL1,3.0,BOTOL,2021
A00174,ANTIS GEL 30ML,ETL5B,4.0,BOTOL,2021
A00175,ANAKONIDIN 30ML,ETL3A,6.0,BOTOL,2021
A00176,ANAKONIDIN OBH 30ML,ETL3A,7.0,BOTOL,2021
A00178,ANDALAN CO 3'S,ETL3B,10.0,PCS,2021
A00180,ANATON SYR,ETL3A,4.0,BOTOL,2021
A00186,AUGENTONIC TM 15ML,ETL2,2.0,BOTOL,2021
A00187,AMBESIP,ETL1,10.0,STRIP,2021
B0000001,BACTODERM 5GR,RAK3,1.0,TUBE,2021
B0000002,BALSEM GELIGA 10 GR,ETL2,8.0,POT,2021
B0000003,BALSEM GELIGA 20 GR,ETL2,7.0,POT,2021
B0000004,BALSEM GELIGA 40 GR,ETL2,8.0,POT,2021
B0000006,BALSEM LANG 10 GR,ETL2,6.0,POT,2021
B0000007,BALSEM LANG 20 GR,ETL2,15.0,POT,2021
B0000009,BALSEM TJIN TJAU 20 G,ETL2,3.0,POT,2021
B0000010,BALSEM TJIN TJAU 36 G,ETL2,2.0,POT,2021
B00000100,BIOLYSIN SYR 100ML,ETL2,2.0,BOTOL,2021
B00000120,BROADAMOX,RAK1,22.0,STRIP,2021
B00000125,BENEURON DRAGEE,ETL1,10.0,STRIP,2021
B0000013,BECOM-C,ETL1,18.0,STRIP,2021
B0000018,BENZOLAC CL,RAK3,2.0,TUBE,2021
B0000019,BETADINE FEMINIME,ETL5B,2.0,BOTOL,2021
B0000020,BETADINE GARGLE 190ML,ETL2,5.0,BOTOL,2021
B0000021,BETADINE GARGLE 100ML,ETL2,3.0,BOTOL,2021
B0000022,BETADINE OINT 10G,ETL3B,3.0,TUBE,2021
B0000023,BETADINE OINT 5G,ETL3B,3.0,TUBE,2021
B0000025,BETADINE SOL 15 ML,ETL3B,6.0,BOTOL,2021
B0000026,BETADINE SOL 30 ML,ETL3B,4.0,BOTOL,2021
B0000027,BETADINE SOL 5 ML,ETL3B,10.0,BOTOL,2021
B0000028,BETAHISTINE,RAK2,14.0,STRIP,2021
B0000030,BETASON N CR 5G,RAK3,14.0,TUBE,2021
B0000031,BIOGESIC,ETL1,32.0,STRIP,2021
B0000032,BIOLYSIN KIDS ANGGUR,ETL3A,1.0,BOTOL,2021
B0000033,BIOLYSIN KIDS JERUK,ETL3A,3.0,BOTOL,2021
B0000034,BIOLYSIN KIDS STRAW,ETL3A,4.0,BOTOL,2021
B0000035,BIOPLACENTON 15GR,RAK3,10.0,TUBE,2021
B0000036,BISOLVON EXTRA,ETL3A,3.0,BOTOL,2021
B0000037,BISOLVON KIDS,ETL3A,3.0,BOTOL,2021
B0000038,BISOPROLOL 5MG,RAK2,57.0,STRIP,2021
B0000039,BODREX,ETL1,51.0,STRIP,2021
B0000040,BODREX EXTRA,ETL1,40.0,STRIP,2021
B0000041,BODREX FB DAHAK,ETL1,17.0,STRIP,2021
B0000042,BODREX FB KERING,ETL1,49.0,STRIP,2021
B0000043,BODREX MIGRA,ETL1,36.0,STRIP,2021
B0000044,BODREXIN DEMAM  SYR,ETL3A,2.0,BOTOL,2021
B0000045,BORRAGINOL N SUPPO,KULKAS,15.0,SUPP,2021
B0000046,BORRAGINOL S SUPPO,KULKAS,17.0,SUPP,2021
B0000048,BUBUK PK,ETL2,12.0,POT,2021
B0000050,BYE BYE FEVER ANAK,ETL5B,27.0,SACHET,2021
B0000054,BRONCHITIN SYR,ETL3A,4.0,BOTOL,2021
B0000057,BYE BYE FEVER BAYI,ETL5B,48.0,LEMBAR,2021
B0000061,BATUGIN 300ML,ETL5B,2.0,BOTOL,2021
B0000065,BUFACORT N 5G,RAK3,4.0,TUBE,2021
B0000066,BINARI,ETL5B,6.0,SACHET,2021
B0000067,BETADINE PLESTER JUNIOR,ETL3B,2.0,PCS,2021
B0000072,BETAMETHASON 0.1%,RAK3,9.0,TUBE,2021
B0000073,BODREXIN  FB PE ANAK SYR (KERING),ETL3A,6.0,BOTOL,2021
B0000074,BUFANTACID,ETL1,14.0,STRIP,2021
B0000076,BUFANTACID FORTE SYR,ETL1,6.0,BOTOL,2021
B0000078,BALPIRIK EXTRA MERAH,ETL2,2.0,POT,2021
B0000081,BIOLYSIN SMART 60ML,ETL3A,1.0,BOTOL,2021
B0000082,BETADINE SABUN CAIR 100ML,ETL5B,3.0,BOTOL,2021
B0000088,BODREXIN FB PE ANAK SYR (DAHAK),ETL3A,6.0,BOTOL,2021
B0000089,BBK 80GR,ETL3B,6.0,BOTOL,2021
B0000090,BETADINE SOL 60ML,ETL3B,3.0,BOTOL,2021
B0000091,BENECOL ORANGE,SC,12.0,BOTOL,2021
B0000097,BALSEM LANG 40GR,ETL2,8.0,POT,2021
B0000101,BORRAGINOL S OINT,RAK3,1.0,TUBE,2021
B0000103,BEVALEX CR,RAK3,10.0,TUBE,2021
B0000108,BEAR BRAND,SC,24.0,KLG,2021
B0000109,BUFACARYL,RAK1,35.0,STRIP,2021
B0000118,BRONKRIS TAB,ETL1,21.0,STRIP,2021
B0000119,BORRAGINOL N OINT,RAK3,1.0,TUBE,2021
B0000193,BIOMEGA,RAK1,10.0,STRIP,2021
B0000199,BODREX FB KERING SYR (DEWASA),ETL3A,12.0,BOTOL,2021
B0000200,BODREX PE DAHAK SYR (DEWASA),ETL3A,6.0,BOTOL,2021
B0000202,BRONKRIS SYR,ETL3A,1.0,BOTOL,2021
B0000204,BENZOLAC GEL 2.5% 5GR,RAK3,2.0,TUBE,2021
B0000206,BABY OIL TELON PIGEON,ETL2,4.0,BOTOL,2021
B0000216,BATSARIA 10ML,ETL2,1.0,BOTOL,2021
B0000220,BISACODYL TAB 5MG,ETL1,6.0,STRIP,2021
B0000227,"BISOPROLOL 2,5MG",RAK2,31.0,STRIP,2021
B0000234,BEJO JAHE MERAH,ETL5B,135.0,SACHET,2021
B0000236,BECOM-ZET,ETL1,8.0,STRIP,2021
B0000238,BENZOLAC GEL 5% 5GR,RAK3,2.0,TUBE,2021
B0000241,BIMACYL,ETL1,25.0,STRIP,2021
B0000244,BLACKSOAP,ETL2,7.0,PCS,2021
B0000266,BINTAMOX TAB,RAK1,14.0,STRIP,2021
B0000268,BINTAMOX SYR,RAK4,3.0,BOTOL,2021
B0000271,BETADINE PLASTER WATERPROOF,ETL3B,8.0,PCS,2021
B0000272,BOOST D 1000 IU,ETL1,98.0,STRIP,2021
B0000273,BODREXIN TAB 4X4'S,ETL1,53.0,STRIP,2021
B0000275,BIOMAG TAB,ETL1,10.0,STRIP,2021
B0000276,BEBITHEN KRIM 20GR,ETL2,1.0,TUBE,2021
B0000279,BIOLYSIN DRAGEE TAB,ETL1,8.0,STRIP,2021
B0000280,BIOLYSIN KIDS C-100 TAB,ETL4,1.0,BOTOL,2021
B0000283,BEJO JAHE MERAH ANAK,ETL5B,30.0,SACHET,2021
B0000285,BENADRYL ORIGINAL 50ML,ETL3A,2.0,BOTOL,2021
B0000287,BONE KIDZ TAB HISAP,ETL4,1.0,BOTOL,2021
B0000288,BIOLYSIN EMULSION 60ML,ETL4,3.0,BOTOL,2021
B0000290,BABY LIQUID SOAP PIGEON 100ML,ETL5B,2.0,BOTOL,2021
B0000291,BABY SHAMPOO PIGEON 100ML,ETL5B,3.0,BOTOL,2021
B0000292,BISOLVON LARUTAN 50ML,ETL3A,1.0,BOTOL,2021
B0000293,BEJO SUJAMER,ETL5B,6.0,PACK,2021
B000030,BROCHIFAR KPT,ETL1,4.0,STRIP,2021
B000056,BROCHITIN TAB,RAK1,6.0,STRIP,2021
B000200,BETADINE VAGINAL 100ML,ETL5B,1.0,BOTOL,2021
BO00044,BODREX DEMAM TAB,ETL1,5.0,STRIP,2021
C0000001,CALADINE LOT 95ML,ETL3B,11.0,BOTOL,2021
C0000002,CALADINE LOT 60ML,ETL3B,17.0,BOTOL,2021
C0000003,CALADINE TALK 100G,ETL3B,10.0,BOTOL,2021
C0000004,CALADINE TALK 60G,ETL3B,6.0,BOTOL,2021
C0000005,CALLUSOL,ETL2,2.0,BOTOL,2021
C0000006,CANDISTIN,RAK4,1.0,BOTOL,2021
C0000009,"CAPTOPRIL 12,5MG",RAK2,28.0,STRIP,2021
C0000010,CAPTOPRIL 25MG,RAK2,63.0,STRIP,2021
C00000100,CEZZVIT 500MG BTL,ETL4,2.0,BOTOL,2021
C00000101,COOLANT 350ML,SC,6.0,BOTOL,2021
C00000102,COOLING 5 PLUS ORANGE,ETL2,5.0,BOTOL,2021
C00000105,COTTON BUD,ETL5B,4.0,PACK,2021
C0000012,CATAFLAM 25MG,RAK1,43.0,TABLET,2021
C0000013,CATAFLAM 50MG,RAK1,90.0,TABLET,2021
C0000014,CATAFLAM D 50MG,RAK1,47.0,TABLET,2021
C00000143,CANDESARTAN 16MG,RAK2,4.0,STRIP,2021
C0000015,CATARLENT 5ML,RAK4,2.0,FLS,2021
C00000179,CALSI-5,ETL1,8.0,STRIP,2021
C0000018,CEFADROXIL 500MG,RAK2,15.0,STRIP,2021
C0000021,CEFIXIME 100MG CAP,RAK2,59.0,STRIP,2021
C0000023,CENDO LYTEERS 15ML,ETL2,4.0,FLS,2021
C0000027,CENDO XITROL MINI DOSE,RAK4,3.0,PACK,2021
C0000028,CENDO XITROL TM 5ML,RAK4,5.0,FLS,2021
C0000031,CEREBROFORT GOLD,ETL3A,1.0,BOTOL,2021
C0000032,CETIRIZINE 10MG,RAK2,35.0,STRIP,2021
C0000033,CHLORAMFECORT H CR 10G,RAK3,6.0,TUBE,2021
C0000035,CINOLON CR,RAK3,5.0,TUBE,2021
C0000037,CIPROFLOXACIN 500MG,RAK2,13.0,STRIP,2021
C0000040,CLINDAMYCIN 150MG,RAK2,5.0,STRIP,2021
C0000041,CLINDAMYCIN 300MG,RAK2,7.0,STRIP,2021
C0000046,CONTREXIN,ETL1,2.0,STRIP,2021
C0000048,"CORTIDEX 0,5MG",RAK1,190.0,TABLET,2021
C0000051,COUNTERPAIN 15 GR,ETL2,5.0,TUBE,2021
C0000052,COUNTERPAIN 30,ETL2,2.0,TUBE,2021
C0000053,COUNTERPAIN 5 GR,ETL2,6.0,TUBE,2021
C0000054,COUNTERPAIN 60,ETL2,4.0,TUBE,2021
C0000060,CURCUMA PLUS DHA STRAW,ETL3A,3.0,BOTOL,2021
C0000066,COLDREXIN SYR,ETL3A,1.0,BOTOL,2021
C0000067,COMBANTRIN 10ML,ETL1,9.0,BOTOL,2021
C0000070,CAVIPLEX TAB,ETL1,22.0,STRIP,2021
C0000071,CANESTEN 5 GR,ETL2,4.0,TUBE,2021
C0000072,CALCIFAR PLUS,ETL1,29.0,STRIP,2021
C0000075,COMBANTRIN 250MG,ETL1,22.0,STRIP,2021
C0000076,CAVIPLEX SYR,ETL3A,6.0,BOTOL,2021
C0000078,CALORTUSIN,ETL1,29.0,STRIP,2021
C0000080,CURVIT SYR 60 ML,ETL3A,2.0,BOTOL,2021
C0000082,CURCUMA PLUS GROW JRK,ETL4,1.0,BOTOL,2021
C0000083,CURVIT CL,ETL4,1.0,BOTOL,2021
C0000084,CURCUMA FCT TAB,ETL1,11.0,BLISTER,2021
C0000086,CDR JERUK,ETL3A,4.0,BOTOL,2021
C0000091,CEREBROFORT MARINE GUMMY ORANGE,ETL4,11.0,SACHET,2021
C0000097,COUNTERPAIN 120GR,ETL2,1.0,TUBE,2021
C0000099,CHILI PLAST,ETL3B,41.0,ROLL,2021
C0000100,CALADINE BABY POW 50GR,ETL3B,2.0,BOTOL,2021
C0000101,COOLING 5 SPRAY,ETL2,4.0,BOTOL,2021
C0000103,CENTABIO GEL,RAK3,5.0,TUBE,2021
C0000104,CHILI PLAST KECIL,ETL3B,32.0,ROLL,2021
C0000107,CALADINE BABY 100GR,ETL3B,3.0,BOTOL,2021
C0000110,CATAFLAM FAST 50MG,RAK1,13.0,SACHET,2021
C0000111,CUSTODIOL,ETL1,6.0,STRIP,2021
C0000113,COPARCETIN SYR,ETL3A,1.0,BOTOL,2021
C0000115,COPARCETIN KIDS,ETL3A,7.0,BOTOL,2021
C0000122,CDR JERUK 15'S,ETL3A,5.0,BOTOL,2021
C0000126,COLFIN SYR,ETL3A,6.0,BOTOL,2021
C0000127,"CARBIDU 0,5",RAK1,56.0,STRIP,2021
C0000129,COLFIN TAB,ETL1,21.0,STRIP,2021
C0000132,CITOCETINE 60ML,ETL3A,1.0,BOTOL,2021
C0000140,CHILD GO COKLAT 140ML,SC,11.0,BOTOL,2021
C0000141,CHILD GO STRAW 140ML,SC,7.0,BOTOL,2021
C0000142,CANDESARTAN 8MG,RAK2,46.0,STRIP,2021
C0000152,CHIL GO VANILA 140ML,SC,7.0,BOTOL,2021
C0000161,CIMORY,SC,1.0,BOTOL,2021
C0000162,CENDO LYTEERS MD,ETL2,4.0,STRIP,2021
C0000165,CIMORY MINI,SC,11.0,BOTOL,2021
C0000166,CEFADROXIL SYR 60ML,RAK4,1.0,BOTOL,2021
C0000167,CAPTOPRIL 50MG,RAK2,35.0,STRIP,2021
C0000169,CARBIDU 0.75MG,RAK1,15.0,STRIP,2021
C0000170,COPARCETIN TABLET,ETL1,32.0,STRIP,2021
C0000171,CEFIXIME D.S 100MG 30ML,RAK4,2.0,BOTOL,2021
C0000175,COD LIVER OIL 100'S,ETL5A,4.0,BOTOL,2021
C0000176,COD LIVER OIL 50'S,ETL5A,6.0,BOTOL,2021
C0000178,CALCIFAR,ETL1,16.0,STRIP,2021
C0000181,CAZETIN DROP,RAK4,2.0,BOTOL,2021
C0000182,CURCUMA PLUS GO TALZ! ORANGE TAB,ETL3A,3.0,BOTOL,2021
C0000183,CEFIXIME 200MG KAP,RAK2,140.0,STRIP,2021
C0000184,CENDO TIMOL 0.5% MD,RAK4,1.0,PCS,2021
C0000187,CETIRIZINE SYR 60ML,RAK4,4.0,BOTOL,2021
C0000189,CAL-95,ETL1,6.0,STRIP,2021
C0000190,CINOLON N CR 5GR,RAK3,5.0,TUBE,2021
C0000196,CIMORY SQUEEZE,SC,5.0,PCS,2021
C0000197,CURCUMA 20MG TABLET,ETL1,7.0,STRIP,2021
C0000204,CAVIPLEX D TAB,ETL1,8.0,STRIP,2021
C0000205,CAVIPLEX CDEZ,ETL1,18.0,STRIP,2021
C0000206,CENDO MYDRIATYL 1% 5ML,RAK4,1.0,BOTOL,2021
C0000211,CHIL GO ORIGINAL 130ML,SC,6.0,BOTOL,2021
C0000213,COMTUSI SYR 60ML,RAK4,2.0,BOTOL,2021
C0000215,CARMED CR 10%,RAK3,1.0,TUBE,2021
C0000216,COMTUSI SYR STRAWBERRY 60ML,RAK4,1.0,BOTOL,2021
C0000217,CESSA BIRU,ETL2,58.0,BOTOL,2021
C0000218,CESSA MERAH,ETL2,10.0,BOTOL,2021
C0000219,CESSA KUNING,ETL2,5.0,BOTOL,2021
C0000221,COUNTERPAIN COOL 120GR,ETL2,1.0,TUBE,2021
C000038,COTTONBUD SWAP 200'S,ETL5B,1.0,BOTOL,2021
C000050,CIMORY UHT 250,SC,5.0,BOTOL,2021
C000137,CURVIT KAPLET,ETL1,8.0,STRIP,2021
C000140,CANESTEN CR 10G,ETL2,4.0,TUBE,2021
C000144,C2FIT,ETL1,16.0,TABLET,2021
C000145,"CLOBETASOL PROPIONATE CR 0,05%",RAK3,1.0,TUBE,2021
C000146,"CLOBETASOL PROPIONATE SALEP 0,05%",RAK3,1.0,TUBE,2021
C000150,CIMORY UHT 125,SC,7.0,PCS,2021
C000151,CORSLIM 180ML,ETL2,2.0,BOTOL,2021
D00000001,DAITICIN 500MG,RAK1,8.0,STRIP,2021
D0000001,DACTARIN 5 GR,ETL2,4.0,TUBE,2021
D0000002,DECOLGEN,ETL1,36.0,STRIP,2021
D00000020,DIAPET 10'S,ETL1,24.0,STRIP,2021
D0000003,DECOLSIN,ETL1,18.0,STRIP,2021
D0000006,DERMAFIX,ETL3B,28.0,PCS,2021
D000001,DEMACOLIN SYR 60ML,ETL3A,6.0,BOTOL,2021
D0000010,"DEXAMETHASONE 0,5MG",RAK2,70.0,STRIP,2021
D0000011,"DEXAMETHASONE 0,75MG",RAK2,49.0,STRIP,2021
D0000012,DEXANTA SYR,ETL1,3.0,BOTOL,2021
D0000013,DEXTAMINE,RAK1,300.0,TABLET,2021
D0000014,DEXTEEM,ETL1,13.0,STRIP,2021
D0000015,DEXTEEM PLUS,RAK1,300.0,TABLET,2021
D0000017,DIABETASOL CKLT 180G,ETL5A,2.0,BOX,2021
D0000018,DIABETASOL VNLA 180G,ETL5A,1.0,BOX,2021
D000002,DEMACOLIN TAB,ETL1,16.0,STRIP,2021
D0000020,DOMPERIDON 10MG,RAK2,15.0,STRIP,2021
D0000021,DRAGON MENTHOL HSP,ETL2,6.0,PCS,2021
D0000024,DULCOLAX,ETL1,13.0,STRIP,2021
D0000027,DUREX LOVE 3'S,ETL3B,2.0,BOX,2021
D0000031,DIABETASOL SWEETENER 25'S,ETL5B,1.0,BOX,2021
D0000032,DIABETASOL SWEETENER 50'S,ETL5A,1.0,BOX,2021
D0000034,DIANE KB,RAK4,2.0,BOX,2021
D0000036,DULCOLAX ANAK SUPPO,KULKAS,4.0,SUPP,2021
D0000037,DIPROSONE OV,RAK3,1.0,TUBE,2021
D0000038,DIAPET NR,ETL1,21.0,STRIP,2021
D0000039,DENTASOL GIGI,ETL2,4.0,TUBE,2021
D0000041,DACTARIN CR 10G,ETL2,3.0,TUBE,2021
D0000044,DIRECTTEST CAWAN,ETL3B,4.0,DUS,2021
D000005,DEXKETOPROFEN TAB,RAK2,4.0,STRIP,2021
D0000053,DIAPET ANAK,ETL1,30.0,SACHET,2021
D0000054,DECADRYL SYR,ETL3A,7.0,BOTOL,2021
D0000057,DOT DODO 60ML,ETL5B,1.0,BOTOL,2021
D0000059,DULCOLAX 10'S,ETL1,11.0,BLISTER,2021
D0000064,DETTOL LIQ 250ML,ETL5B,3.0,BOTOL,2021
D0000072,DEXANTA TAB,ETL1,31.0,STRIP,2021
D0000075,DETTOL LIQ 100ML,ETL5B,6.0,BOTOL,2021
D0000076,DRAGON MENTHOL HSB,ETL2,9.0,PCS,2021
D0000077,DARSI KAPSUL,ETL5B,7.0,BOX,2021
D0000078,DULCOLAK DEWASA SUPPO,KULKAS,6.0,SUPP,2021
D0000086,"DANASONE 0,5",RAK1,21.0,STRIP,2021
D0000087,DEHISTA,ETL1,13.0,STRIP,2021
D0000090,DARYANT-TULLE,KULKAS,10.0,SACHET,2021
D0000091,DIAPET SYR 60ML,ETL1,3.0,BOTOL,2021
D0000097,DETTOL LIQ 50ML,ETL5B,3.0,BOTOL,2021
D0000098,DOT PIGEON 120ML,ETL5B,3.0,BOTOL,2021
D0000099,DOT PIGEON 240ML,ETL5B,3.0,BOTOL,2021
D0000100,DE COUGH MENTHOL 60ML,ETL3A,3.0,BOTOL,2021
D0000101,DOT PIGEON 50ML,ETL5B,2.0,BOTOL,2021
D0000106,DEXIGEN CR,RAK3,10.0,TUBE,2021
D000017,DEXTRAL SYR 60ML,ETL3A,2.0,BOTOL,2021
D0000173,DESOXIMETHASONE 0.25 CR 15G,RAK3,15.0,TUBE,2021
D0000179,DETTOL SOAP 65G,ETL5B,3.0,PCS,2021
D0000180,DERMAFIX 10X25,ETL3B,4.0,PCS,2021
D0000184,DIVOLTAR 50MG,RAK1,12.0,STRIP,2021
D0000189,DEGIROL STRIP,ETL5B,22.0,STRIP,2021
D0000191,DOT RELIABLE 240ML,ETL5B,1.0,BOTOL,2021
D0000192,DOT RELIABLE 125ML,ETL5B,3.0,BOTOL,2021
D0000194,DRAGON MIYAK SEREH 60ML,ETL2,6.0,BOTOL,2021
D0000196,DERMATIX ULTRA GEL 5GR,ETL2,1.0,TUBE,2021
D0000198,DRAGON MINYAK SEREH 100ML,ETL2,5.0,BOTOL,2021
D0000200,DICLOFENAC DIETHYLAMINE 20GR,ETL2,1.0,TUBE,2021
D0000204,DICOM TAB,ETL1,16.0,STRIP,2021
D0000206,DELICYO YOGURT,SC,6.0,BOTOL,2021
D0000207,DETTOL LIQ 495ML,ETL5B,3.0,BOTOL,2021
D0000210,DICLOFENAC DIETHYLAMINE 50GR,ETL2,1.0,TUBE,2021
D0000212,DUREX LOVE 12'S,ETL3B,2.0,PCS,2021
D0000218,DENICAM 20MG,RAK1,15.0,STRIP,2021
D0000220,DESLORATADINE 5MG,RAK2,10.0,TABLET,2021
D000209,DETTOL SABUN CUCI TGN,ETL5B,2.0,BOTOL,2021
E0000002,ELTAZON,RAK1,260.0,TABLET,2021
E0000003,ENBATIC POW,RAK3,19.0,SACHET,2021
E0000004,ENERVONCE (30),ETL1,3.0,BOTOL,2021
E0000006,ENTRASOL GOLD CKLT 185G,ETL5A,1.0,BOX,2021
E0000007,ENTRASOL GOLD VNLA 185G,ETL5A,1.0,BOX,2021
E00000086,ERMETHASONE 0.5 TAB,RAK1,23.0,STRIP,2021
E0000010,ENTROSTOP ANAK,ETL1,33.0,SACHET,2021
E0000011,ENTROSTOP TAB,ETL1,20.0,STRIP,2021
E0000013,EPEXOL SYR 120ML,RAK4,6.0,BOTOL,2021
E0000015,ERLAMYCETIN PLUS TM,RAK4,9.0,TUBE,2021
E0000016,ERLAMYCETIN SM,RAK4,7.0,TUBE,2021
E0000017,ESTER C (30),ETL1,4.0,BOTOL,2021
